"","vehicle_class","fuel_type","engine_size","cylinders","fuel_consumption","CO2_emissions"
"HYUNDAI SONATA 2.5L A4","Car","Gas",2.5,6,13.4,267
"CHEVROLET BLAZER 4X4 A4","Truck/SUV","Gas",4.3,6,17.2,350
"MAZDA B4000 4X4 A5","Truck/SUV","Gas",4,6,17.3,359
"SATURN L100/200 M5","Car","Gas",2.2,4,12.2,239
"FORD E150 VAN A4","Truck/SUV","Gas",4.2,6,18,363
"SATURN SC COUPE # M5","Car","Gas",1.9,4,10.3,202
"JEEP GRAND CHEROKEE 4X4 A4","Truck/SUV","Gas",4,6,16.6,338
"AUDI A6 QUATTRO A5","Car","Diesel",2.7,6,15.2,301
"MERCEDES-BENZ CLK 320 CABRIOLET A5","Car","Diesel",3.2,6,13.3,260
"BMW 525i A5","Car","Diesel",2.5,6,13.3,265
"MAZDA MX-5 MIATA M6","Car","Diesel",1.8,4,11.8,246
"MERCEDES-BENZ SLK 320 M6","Car","Diesel",3.2,6,14.6,283
"FORD MUSTANG # M5","Car","Diesel",4.6,8,15.5,304
"PONTIAC AZTEK A4","Truck/SUV","Gas",3.4,6,13.8,276
"TOYOTA CAMRY A4","Car","Gas",2.2,4,11.5,230
"CHEVROLET C1500 SILVERADO M5","Truck/SUV","Gas",4.3,6,17.1,347
"AUDI TT COUPE QUATTRO M5","Car","Diesel",1.8,4,13.1,260
"CHEVROLET VENTURE A4","Truck/SUV","Gas",3.4,6,13.8,276
"SAAB 9-5 TURBO M5","Car","Gas",2.3,4,13.1,255
"HYUNDAI SONATA 2.4L A4","Car","Gas",2.4,4,12.9,258
"JAGUAR XKR # A5","Car","Diesel",4,8,16.3,327
"VOLKSWAGEN CABRIO A4","Car","Gas",2,4,12.6,253
"BUICK CENTURY A4","Car","Gas",3.1,6,13,258
"MAZDA B4000 A5","Truck/SUV","Gas",4,6,16.4,336
"GMC JIMMY 4X4 A4","Truck/SUV","Gas",4.3,6,17.2,350
"MERCEDES-BENZ E 320 4MATIC 4X4 A5","Car","Diesel",3.2,6,13.4,269
"MERCEDES-BENZ CLK 430 CABRIOLET A5","Car","Diesel",4.3,8,14.8,297
"CHEVROLET K1500 SILVERADO 4X4 M5","Truck/SUV","Gas",4.3,6,18.7,386
"BMW 540i A5","Car","Diesel",4.4,8,14.7,294
"FORD EXPEDITION 4X4 A4","Truck/SUV","Gas",4.6,8,18.7,382
"CHEVROLET S10 M5","Truck/SUV","Gas",4.3,6,17,343
"FORD WINDSTAR WAGON A4","Truck/SUV","Gas",3.8,6,14.9,299
"FORD ESCAPE A4","Truck/SUV","Gas",3,6,14.7,294
"TOYOTA CELICA AS4","Car","Diesel",1.8,4,11.6,237
"SATURN LW200 WAGON A4","Truck/SUV","Gas",2.2,4,11.3,225
